NAME,LINK,ADDRESS,CITY,ZIP,ZIP4,PHONE,FAX,ACUTE,ICU,CAH,Heli,Weblink,Beds_Total,Beds_Total_ICU,Updated,Beds_Psychiatric,longitude,latitude
"Kindred Hospital Seattle - First Hill",117,"1334 Terry Ave","Seattle","98101"," ","(206) 682-2661"," ","Yes","No","No","No","http://www.wsha.org/hospitalDetail.cfm?HID=185",50,6,[object Object],0,47.61142712127964,-122.32844933151334
"Kaiser Permanente Central Campus",119,"125 16th Ave E","Seattle","98112"," ","(206) 326-3020",,"Yes","No","No","No","https://wa.kaiserpermanente.org/",28,0,[object Object],0,47.618966244892455,-122.3123107974265
"MultiCare Covington Medical Center",120,"17700 SE 272nd St","Covington","98042"," ","(235) 372-6500",,"Yes","No","No","No","https://www.multicare.org/covington-medical-center/",52,0,[object Object],0,47.359120366808675,-122.10368782088321
"Swedish - Mill Creek",121,"13020 Meridian Ave S.","Everett","98208",,"(425) 357-3900",,"Yes","No","No","No","https://www.swedish.org/locations/mill-creek-campus#llaid=6735",20,0,[object Object],0,47.878580161605754,-122.23421021713406
"Smokey Point Behavioral Hospital",122,"3955 156th St NE","Marysville","98271"," ","(844) 202-5555",,"No","No","No","No","http://www.smokeypointbehavioralhospital.com",115,0,[object Object],115,48.1379912628092,-122.17942521045549
"BHC Fairfax Hospital North",124,"916 Pacific Ave","Everett","98201"," ","(425) 446-3000"," ","No","No","No","No","http://www.fiarfaxhospital.com",30,0,[object Object],30,47.975509714940735,-122.21676545561417
"Providence Regional Medical Center - Everett Pacific Campus",129,"916 Pacific Ave","Everett","98201"," ","(425) 261-2000"," ","No","No","No","No","http://www.providence.org",50,0,[object Object],0,47.97578008597096,-122.21803041317028
"Fairfax Behavioral Health Monroe",125,"14701 179th Ave SE","Monroe","98272"," ","(360) 365-5300"," ","No","No","No","No","http://www.fiarfaxhospital.com",34,0,[object Object],34,47.86335910666461,-121.98784180279107
"Rainier Springs",126,"2805 NE 129th St","Vancouver","98686"," ","(360) 869-0098"," ","No","No","No","No","https://rainiersprings.com",72,0,[object Object],72,45.71423170698629,-122.64219446634512
"Inland Northwest Behavioral Health",128,"104 W 5th Ave","Spokane","99204"," ","(509) 992-1888"," ","No","No","No","No","https://inlandnorthwestbh.com/",100,0,[object Object],100,47.65146372184529,-117.41436008578955
"Wellfound Behavioral Health Hospital",123,"3402 S 19th St","Tacoma","98405"," ","(253) 301-5400"," ","No","No","No","No","http://www.wellfound.org/",120,0,[object Object],120,47.24181372109054,-122.48069282280693
"South Sound Behavioral Hospital",127,"605 Woodland Square Loop","Lacey","98503"," ","(844) 949-8888"," ","No","No","No","No","http://www.southsoundbehavioralhospital.com
www.southsoundbehavioralhospital.com
",108,0,[object Object],108,47.04255680044671,-122.82762098634815
